series,label,condition,human_p_x,model_p_x
A→C transfer,study2_raw_01,baseline,0.975000,0.914901
A→C transfer,study2_raw_02,medical_director_supports_private,0.025000,0.095349
A→C transfer,study2_raw_03,medical_director_supports_private,1.000000,0.904651
A→C transfer,study2_raw_04,medical_director_supports_private,0.000000,0.132964
A→C transfer,study2_raw_05,baseline,1.000000,0.904651
A→C transfer,study2_raw_06,medical_director_supports_private,0.050000,0.119203
A→C transfer,study2_raw_07,medical_director_opposes_private,0.825000,0.867036
A→C transfer,study2_raw_08,baseline,0.050000,0.119203
A→C transfer,study2_raw_09,medical_director_supports_private,1.000000,0.893309
A→C transfer,study2_raw_10,medical_director_supports_private,0.000000,0.119203
A→C transfer,study2_raw_11,medical_director_supports_private,1.000000,0.893309
A→C transfer,study2_raw_12,baseline,0.025000,0.132964
A→C transfer,study2_raw_13,medical_director_supports_private,0.950000,0.893309
A→C transfer,study2_raw_14,medical_director_opposes_private,0.100000,0.095349
A→C transfer,study2_raw_15,medical_director_supports_private,0.975000,0.893309
A→C transfer,study2_raw_16,baseline,0.050000,0.106691
A→C transfer,study2_raw_17,medical_director_supports_private,0.750000,0.468791
A→C transfer,study2_raw_18,medical_director_opposes_private,0.600000,0.222700
A→C transfer,study2_raw_19,medical_director_opposes_private,0.300000,0.268941
A→C transfer,study2_raw_20,baseline,0.600000,0.562177
A→C transfer,study2_raw_21,baseline,0.300000,0.348645
A→C transfer,study2_raw_22,medical_director_opposes_private,0.375000,0.222700
A→C transfer,study2_raw_23,medical_director_opposes_private,0.846154,0.777300
A→C transfer,study2_raw_24,medical_director_opposes_private,0.175000,0.182426
A→C transfer,study2_raw_25,baseline,0.750000,0.777300
A→C transfer,study2_raw_26,medical_director_opposes_private,0.875000,0.562177
A→C transfer,study2_raw_27,medical_director_supports_private,0.075000,0.164516
A→C transfer,study2_raw_28,baseline,0.948718,0.651355
A→C transfer,study2_raw_29,medical_director_opposes_private,0.875000,0.777300
A→C transfer,study2_raw_30,medical_director_opposes_private,0.125000,0.201813
A→C transfer,study2_raw_31,medical_director_opposes_private,0.850000,0.777300
A→C transfer,study2_raw_32,baseline,0.250000,0.201813
A→C transfer,study2_raw_33,medical_director_opposes_private,0.525000,0.731059
A→C transfer,study2_raw_34,medical_director_supports_private,0.600000,0.182426
A→C transfer,study2_raw_35,medical_director_opposes_private,0.625000,0.754915
A→C transfer,study2_raw_36,baseline,0.600000,0.182426
A→C transfer,study2_raw_37,medical_director_opposes_private,0.175000,0.119203
A→C transfer,study2_raw_38,medical_director_supports_private,0.950000,0.798187
A→C transfer,study2_raw_39,medical_director_supports_private,0.025000,0.132964
A→C transfer,study2_raw_40,baseline,0.975000,0.817574
A→C transfer,study2_raw_01,baseline,0.025000,0.095349
A→C transfer,study2_raw_02,medical_director_supports_private,0.975000,0.904651
A→C transfer,study2_raw_03,medical_director_supports_private,0.000000,0.132964
A→C transfer,study2_raw_04,medical_director_supports_private,1.000000,0.904651
A→C transfer,study2_raw_05,baseline,0.000000,0.119203
A→C transfer,study2_raw_06,medical_director_supports_private,0.950000,0.893309
A→C transfer,study2_raw_07,medical_director_opposes_private,0.175000,0.132964
A→C transfer,study2_raw_08,baseline,0.950000,0.893309
A→C transfer,study2_raw_09,medical_director_supports_private,0.000000,0.132964
A→C transfer,study2_raw_10,medical_director_supports_private,1.000000,0.893309
A→C transfer,study2_raw_11,medical_director_supports_private,0.000000,0.119203
A→C transfer,study2_raw_12,baseline,0.975000,0.893309
A→C transfer,study2_raw_13,medical_director_supports_private,0.050000,0.095349
A→C transfer,study2_raw_14,medical_director_opposes_private,0.900000,0.893309
A→C transfer,study2_raw_15,medical_director_supports_private,0.025000,0.106691
A→C transfer,study2_raw_16,baseline,0.950000,0.904651
A→C transfer,study2_raw_17,medical_director_supports_private,0.250000,0.468791
A→C transfer,study2_raw_18,medical_director_opposes_private,0.400000,0.705785
A→C transfer,study2_raw_19,medical_director_opposes_private,0.700000,0.705785
A→C transfer,study2_raw_20,baseline,0.400000,0.437823
A→C transfer,study2_raw_21,baseline,0.700000,0.201813
A→C transfer,study2_raw_22,medical_director_opposes_private,0.625000,0.348645
A→C transfer,study2_raw_23,medical_director_opposes_private,0.153846,0.182426
A→C transfer,study2_raw_24,medical_director_opposes_private,0.825000,0.754915
A→C transfer,study2_raw_25,baseline,0.250000,0.182426
A→C transfer,study2_raw_26,medical_director_opposes_private,0.125000,0.201813
A→C transfer,study2_raw_27,medical_director_supports_private,0.925000,0.798187
A→C transfer,study2_raw_28,baseline,0.051282,0.201813
A→C transfer,study2_raw_29,medical_director_opposes_private,0.125000,0.201813
A→C transfer,study2_raw_30,medical_director_opposes_private,0.875000,0.777300
A→C transfer,study2_raw_31,medical_director_opposes_private,0.150000,0.201813
A→C transfer,study2_raw_32,baseline,0.750000,0.798187
A→C transfer,study2_raw_33,medical_director_opposes_private,0.475000,0.182426
A→C transfer,study2_raw_34,medical_director_supports_private,0.400000,0.679179
A→C transfer,study2_raw_35,medical_director_opposes_private,0.375000,0.201813
A→C transfer,study2_raw_36,baseline,0.400000,0.731059
A→C transfer,study2_raw_37,medical_director_opposes_private,0.825000,0.817574
A→C transfer,study2_raw_38,medical_director_supports_private,0.050000,0.132964
A→C transfer,study2_raw_39,medical_director_supports_private,0.975000,0.817574
A→C transfer,study2_raw_40,baseline,0.025000,0.132964
base,study2_raw_01,baseline,0.975000,0.999965
base,study2_raw_02,medical_director_supports_private,0.025000,0.000431
base,study2_raw_03,medical_director_supports_private,1.000000,1.000000
base,study2_raw_04,medical_director_supports_private,0.000000,0.000000
base,study2_raw_05,baseline,1.000000,1.000000
base,study2_raw_06,medical_director_supports_private,0.050000,0.029312
base,study2_raw_07,medical_director_opposes_private,0.825000,0.001501
base,study2_raw_08,baseline,0.050000,0.952574
base,study2_raw_09,medical_director_supports_private,1.000000,1.000000
base,study2_raw_10,medical_director_supports_private,0.000000,0.000000
base,study2_raw_11,medical_director_supports_private,1.000000,1.000000
base,study2_raw_12,baseline,0.025000,0.000000
base,study2_raw_13,medical_director_supports_private,0.950000,0.998499
base,study2_raw_14,medical_director_opposes_private,0.100000,0.999955
base,study2_raw_15,medical_director_supports_private,0.975000,0.999569
base,study2_raw_16,baseline,0.050000,0.000335
base,study2_raw_17,medical_director_supports_private,0.750000,0.000021
base,study2_raw_18,medical_director_opposes_private,0.600000,1.000000
base,study2_raw_19,medical_director_opposes_private,0.300000,0.000003
base,study2_raw_20,baseline,0.600000,1.000000
base,study2_raw_21,baseline,0.300000,0.999089
base,study2_raw_22,medical_director_opposes_private,0.375000,0.993307
base,study2_raw_23,medical_director_opposes_private,0.846154,1.000000
base,study2_raw_24,medical_director_opposes_private,0.175000,0.000001
base,study2_raw_25,baseline,0.750000,0.999999
base,study2_raw_26,medical_director_opposes_private,0.875000,1.000000
base,study2_raw_27,medical_director_supports_private,0.075000,0.000058
base,study2_raw_28,baseline,0.948718,1.000000
base,study2_raw_29,medical_director_opposes_private,0.875000,1.000000
base,study2_raw_30,medical_director_opposes_private,0.125000,0.000005
base,study2_raw_31,medical_director_opposes_private,0.850000,1.000000
base,study2_raw_32,baseline,0.250000,0.000010
base,study2_raw_33,medical_director_opposes_private,0.525000,0.001501
base,study2_raw_34,medical_director_supports_private,0.600000,1.000000
base,study2_raw_35,medical_director_opposes_private,0.625000,0.924142
base,study2_raw_36,baseline,0.600000,0.622459
base,study2_raw_37,medical_director_opposes_private,0.175000,0.001032
base,study2_raw_38,medical_director_supports_private,0.950000,1.000000
base,study2_raw_39,medical_director_supports_private,0.025000,0.000035
base,study2_raw_40,baseline,0.975000,1.000000
base,study2_raw_01,baseline,0.025000,0.002473
base,study2_raw_02,medical_director_supports_private,0.975000,1.000000
base,study2_raw_03,medical_director_supports_private,0.000000,0.000000
base,study2_raw_04,medical_director_supports_private,1.000000,1.000000
base,study2_raw_05,baseline,0.000000,0.000010
base,study2_raw_06,medical_director_supports_private,0.950000,0.982014
base,study2_raw_07,medical_director_opposes_private,0.175000,0.999797
base,study2_raw_08,baseline,0.950000,0.985936
base,study2_raw_09,medical_director_supports_private,0.000000,0.000000
base,study2_raw_10,medical_director_supports_private,1.000000,1.000000
base,study2_raw_11,medical_director_supports_private,0.000000,0.000000
base,study2_raw_12,baseline,0.975000,1.000000
base,study2_raw_13,medical_director_supports_private,0.050000,0.006693
base,study2_raw_14,medical_director_opposes_private,0.900000,0.119203
base,study2_raw_15,medical_director_supports_private,0.025000,0.000203
